energy          cross_section          cross_section_error 
3.85           543.1209677657183          306.20236549803235 
3.89           1919.4322260679585          312.1455874029743 
3.895           1338.189981138567          324.3394656862019 
3.9           1792.9194790647311          331.07678872304155 
3.905           2662.4087329285344          324.6725860961752 
3.91           2730.4675046774073          339.8852244446123 
3.915           2804.7710621050924          331.6541554408028 
3.92           3346.8246330899156          359.72416962232353 
3.925           3397.1784668346045          367.78936835025866 
3.93           3325.6292226612          363.83843158999 
3.935           3501.406164774585          347.7246310852802 
3.945           3722.223771075962          344.3423756819214           
3.95           4862.938316701273          347.2757869241349            
3.97           4169.6423600094695          366.02627522351423           
3.975           4466.25716565812          342.3274094146868             
3.98           6034.389775305057          362.9952614733702             
3.985           5575.0364846920875          362.79592185195696              
3.995           5616.525421917106          356.5456291986056 
4.0           5886.42095617624          364.1044406025093 
4.005           5915.955319068503          371.1625595674835 
4.01           6489.056414962135          383.80464389632806 
4.012           6870.071390226802          407.0664610688495 
4.014           6412.438685850202          406.08592301854566 
4.016           7355.280172172169          405.7993946292577 
4.018           7872.569698265109          406.61305782315 
4.02           8668.747172281372          424.93026292386025 
4.025           9565.477469617572          444.8942465184552 
4.03           10817.336564057628          286.56336729174035 
4.035           12022.74758490731          464.03439410571025 
4.04           11419.018145446928          455.6093595447757 
4.05           9159.93473717435          437.2622891018286 
4.055           9708.709818226973          427.8391491001866 
4.06           10109.97523517262          449.16953035707115 
4.065           9423.088831925606          420.07571924041605 
4.07           9463.488881580752          418.2490512488237 
4.08           9286.482061109444          391.5464816141409 
4.09           8707.864957057633          397.5210582135818 
4.1           8238.67393997899          398.96517690074586 
4.11           9545.539504098153          418.0843838343717 
4.12           8888.221015325316          397.95218277026964 
4.13           9816.76615334995          424.9241790578232 
4.14           9255.334582740907          425.9571970634397 
4.145           9453.53967253632          409.03300519438443 
4.15           9220.291311428165          426.44263564512767 
4.16           8869.126036632575          399.6424313764694 
4.17           9387.993910242936          271.13006558067895 
4.18           8919.902649430258          425.47621324144774 
4.19           8077.221356265527          413.50932524540775 
4.195           9175.300751603165          415.57760861809635 
4.2           8107.2792290799425          402.47439112274697 
4.203           8343.028832341513          426.63604002655336 
4.206           8082.574450249384          403.86592177547294 
4.21           6754.389771598788          382.6050253669443 
4.215           7113.200853156711          380.45273084832667 
4.22           5878.117297823083          365.15327527769244 
4.225           4930.539433262536          343.9588083385223 
4.23           4733.875182793039          339.4533035507266 
4.235           4582.900383003054          336.9161315153983 
4.24           4541.765896521746          360.65231265103347 
4.243           5186.378163450305          331.3643414108746 
4.245           3776.820663211136          317.28832051276464 
4.248           4512.951051849435          327.84342552269214 
4.25           4798.583638185866          337.3320576046744 
4.255           3665.7993323656374          317.1710036350193 
4.26           4063.039345519928          320.10613144633754 
4.265           3609.48553364687          318.2168816511548 
4.27           3672.425484644894          316.6064230373711 
4.275           3330.7383280606414          315.0305274428188 
4.28           3776.110825869955          321.3878068598498 
4.285           4196.438999449433          320.4573917203396 
4.29           4352.2169441067235          319.1422320522817 
4.3           4097.946631870077          325.2129318760712 
4.31           5042.3933243319025          331.99163079801866 
4.32           4410.288217247592          312.4377594930087 
4.33           4629.81297806799          325.20470698612354 
4.34           4580.547331152387          324.6082934854231 
4.35           5212.715622806769          339.64147230493506 
4.36           5799.055754939744          343.8663230385975 
4.37           6714.055558566407          353.6219544566078 
4.38           6457.506143547867          363.08530568284345 
4.39           7326.844886003473          386.02119385949106 
4.395           6717.8749402630765          375.8274760282816 
4.4           6978.453058946994          392.8480252996824 
4.41           8369.965051071344          440.66790783919396 
4.42           7870.707831499689          389.22934569520106 
4.425           7632.726626766717          391.85711323970946 
4.43           7529.612433426761          411.9921974314355 
4.44           6884.801601845868          378.8757536309502 
4.45           7492.521866246695          388.8420232441237 
4.46           6515.581281097642          344.5189542288959 
4.48           6150.027470998275          353.2247603807941 
4.5           6054.967959121665          350.0811588062317 
4.52           5035.5354526819965          322.6741676808063 
4.54           5647.217786060164          322.81589383420066 
4.55           4940.438604041414          319.48731907393704 
4.56           4736.488898892098          338.8889444038384 
4.57           4967.747705245249          312.88926682599043 
4.58           5343.707088111518          332.5296273060099 
4.59           4899.307317994799          330.321104674415 
