          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_mc_mode401_momentum_costheta_001.cpp.sh.out        -1.3575e-01        -6.1123e-01        7.9241e-02        1.9690e+00        1.9684e+00        8.6410e+01        8.7861e+02        9.6084e-04        4.2223e-03
        mass_fit_mc_mode401_momentum_costheta_002.cpp.sh.out        7.6552e-01        9.2022e-01        7.4115e-01        1.9685e+00        1.9684e+00        1.0986e+01        9.4803e+02        3.4798e-03        9.1298e-03
        mass_fit_mc_mode401_momentum_costheta_003.cpp.sh.out        2.5319e-02        -5.8634e-01        3.9122e-01        1.9686e+00        1.9683e+00        7.9445e+01        8.6750e+02        2.6407e-03        5.0083e-03
        mass_fit_mc_mode401_momentum_costheta_004.cpp.sh.out        -6.9619e-02        -9.6348e-02        7.8364e-01        1.9685e+00        1.9696e+00        4.7892e+01        8.4804e+02        3.4412e-03        8.8082e-03
        mass_fit_mc_mode401_momentum_costheta_005.cpp.sh.out        -4.5903e-01        -6.3499e-01        8.2410e-01        1.9686e+00        1.9697e+00        4.2694e+01        8.2931e+02        3.6418e-03        9.2337e-03
        mass_fit_mc_mode401_momentum_costheta_006.cpp.sh.out        8.4074e-02        -8.0661e-01        8.0830e-01        1.9688e+00        1.9670e+00        7.9016e+01        7.5596e+02        3.6084e-03        7.1888e-03
        mass_fit_mc_mode401_momentum_costheta_007.cpp.sh.out        -2.8786e-02        -1.0993e+00        3.9590e-01        1.9680e+00        1.9693e+00        5.2432e+01        7.3260e+02        2.3519e-03        5.6819e-03
        mass_fit_mc_mode401_momentum_costheta_008.cpp.sh.out        -4.2038e-01        -1.1684e+00        1.5640e-01        1.9672e+00        1.9692e+00        7.7488e+01        7.2251e+02        3.0268e-03        4.4259e-03
        mass_fit_mc_mode401_momentum_costheta_009.cpp.sh.out        3.5800e-01        9.5816e-01        8.0112e-01        1.9686e+00        1.9691e+00        1.3276e+01        7.3570e+02        3.7556e-03        8.9729e-03
        mass_fit_mc_mode401_momentum_costheta_010.cpp.sh.out        3.8136e-01        -9.5458e-01        6.4937e-01        1.9687e+00        1.9692e+00        4.6938e+01        6.4901e+02        3.3132e-03        7.5130e-03
        mass_fit_mc_mode401_momentum_costheta_011.cpp.sh.out        -1.5180e-01        -2.0000e+00        4.9157e-01        1.9695e+00        1.9677e+00        6.2349e+01        6.0158e+02        3.4047e-03        5.1682e-03
        mass_fit_mc_mode401_momentum_costheta_012.cpp.sh.out        -8.4899e-02        -1.5177e+00        1.7122e-01        1.9686e+00        1.9686e+00        7.7839e+01        5.4818e+02        2.5359e-03        4.7109e-03
