          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_mc_mode401_momentum_costheta_001.cpp.sh.out        -2.3555e-01        -4.8464e-01        9.0956e-02        1.9690e+00        1.9683e+00        6.9372e+01        7.6863e+02        8.9993e-04        4.1159e-03
        mass_fit_mc_mode401_momentum_costheta_002.cpp.sh.out        8.3369e-01        8.9588e-01        7.4522e-01        1.9685e+00        1.9678e+00        5.3272e+00        8.2367e+02        3.5618e-03        8.8196e-03
        mass_fit_mc_mode401_momentum_costheta_003.cpp.sh.out        -8.2606e-02        -9.5168e-01        3.1215e-01        1.9685e+00        1.9684e+00        6.3595e+01        7.4942e+02        2.3073e-03        4.7373e-03
        mass_fit_mc_mode401_momentum_costheta_004.cpp.sh.out        -2.5231e-02        -5.3893e-01        7.8190e-01        1.9684e+00        1.9706e+00        4.6632e+01        7.2132e+02        3.3606e-03        7.6422e-03
        mass_fit_mc_mode401_momentum_costheta_005.cpp.sh.out        -8.6645e-01        -2.0000e+00        9.8152e-01        1.9687e+00        1.9819e+00        7.7921e+01        6.7300e+02        3.7752e-03        2.0816e-03
        mass_fit_mc_mode401_momentum_costheta_006.cpp.sh.out        1.2820e-01        -1.4418e+00        1.4318e-02        1.9669e+00        1.9687e+00        8.9721e+01        6.3928e+02        2.5199e-05        4.0089e-03
        mass_fit_mc_mode401_momentum_costheta_007.cpp.sh.out        -2.5287e-01        -1.4412e+00        5.2787e-01        1.9679e+00        1.9698e+00        4.1222e+01        6.3475e+02        2.6090e-03        6.0987e-03
        mass_fit_mc_mode401_momentum_costheta_008.cpp.sh.out        -4.9179e-01        -2.3631e-01        8.8425e-01        1.9688e+00        1.9700e+00        2.0563e+01        6.5044e+02        4.0187e-03        8.4160e-03
        mass_fit_mc_mode401_momentum_costheta_009.cpp.sh.out        1.0022e+00        -1.9719e+00        5.0612e-02        1.9689e+00        1.9685e+00        5.7420e+01        5.8256e+02        4.7444e-04        4.2974e-03
        mass_fit_mc_mode401_momentum_costheta_010.cpp.sh.out        3.4095e-01        -1.6440e-01        6.6824e-01        1.9688e+00        1.9690e+00        2.0963e+01        5.8218e+02        3.3420e-03        8.4137e-03
        mass_fit_mc_mode401_momentum_costheta_011.cpp.sh.out        -2.2971e-01        -1.5734e+00        5.2271e-01        1.9696e+00        1.9676e+00        4.1427e+01        5.3760e+02        3.4112e-03        5.3154e-03
        mass_fit_mc_mode401_momentum_costheta_012.cpp.sh.out        2.9861e-01        -2.3319e+00        1.5494e-02        1.9602e+00        1.9688e+00        7.7570e+01        4.5942e+02        3.6009e-04        4.1236e-03
        mass_fit_mc_mode401_momentum_costheta_013.cpp.sh.out        -9.9998e-01        -2.5000e+00        1.0069e-01        1.9700e+00        1.9688e+00        5.2395e+01        4.4853e+02        2.4785e-03        4.8953e-03
        mass_fit_mc_mode401_momentum_costheta_014.cpp.sh.out        -1.0955e+00        -3.5000e+00        6.8505e-02        1.9659e+00        1.9681e+00        7.0626e+01        3.6438e+02        1.5032e-03        4.3741e-03
